Outcome,ROI,Signal,Stimulus,Moderator,ISC_main,ISC_main_p,Moderator_main,Moderator_main_p,Interaction_beta,Interaction_p,R_squared,Adj_R_squared,n
Mindwandering_Splitscreen,lTPJ,HbR,Splitscreen,SIAS_total,-4.765415574838315,0.2994527442899109,0.00968323234963852,0.1931510879152104,-0.8013105577255124,0.016553282181076007,0.09002456735825198,0.05828123831260956,90
Accuracy,ldlPFC,HbR,Zima,GAD_total,-6.839513738345553,0.8692669568754304,-0.09808219656784715,0.3586267043634057,-28.947070924836098,0.017272341400521626,0.07090507709149571,0.037323332889983574,87
Accuracy,dmPFC,HbO,Zima,SIAS_total,6.7725851948705635,0.6184739313782162,-0.02595870263300219,0.48373579516246223,-2.4837116102570063,0.01798924659765256,0.06527231448255778,0.032281925581942095,89
MW_Ratio,rTPJ,HbR,Zima,MW_trait_total,3.0872717000992496,0.01648938289758406,2.1576679060130097e-4,0.9714083570504133,-0.5929387435916481,0.018362442908042922,0.0884524119618415,0.05426937741041049,84
Mindwandering_Zima,lTPJ,HbR,Splitscreen,PHQ9_total,0.20686706993039386,0.9616175468302772,0.047329583122341354,0.044652881135409495,2.7285082139274244,0.018959506018068943,0.09970175556387371,0.06935462372894807,93
Mindwandering_Splitscreen,dmPFC,HbR,Splitscreen,MW_state_SART,1.937669611706033,0.7229580114891885,0.36027409769041713,2.8557855542887134e-4,13.243539513409138,0.019048719777956462,0.19730790264439996,0.17141460918131612,97
Mindwandering_Splitscreen,rTPJ,HbO,Splitscreen,MW_state_SART,3.1631057671564737,0.15874829006999847,0.44656271822365273,1.015797882778099e-5,6.478839733515896,0.01950567511836172,0.21733983621263184,0.19153785279107016,95
Accuracy,rdlPFC,HbR,Zima,SIAS_total,55.49036788032848,0.05319257255116445,-0.007346213775591222,0.837411974026348,-5.2297320635891005,0.0203613522284731,0.062475278886439355,0.029386171082431245,89
Accuracy,rTPJ,HbO,Splitscreen,PHQ9_total,17.6450136891986,0.11235521172264326,-0.09807426369519073,0.32793461201553,-4.755380507739371,0.0204934015003995,0.07894918058994768,0.04824748660961253,94
Mindwandering_Splitscreen,rdlPFC,HbO,Splitscreen,MW_state_SART,2.40073558665995,0.2997518183808435,0.3693080389382517,2.0463142451224473e-4,5.706954336971,0.022897696953064477,0.19520539580979537,0.1695204616335122,98
Accuracy,vmPFC,HbR,Zima,MW_trait_total,-1.3477228376055705,0.9538630235124946,0.13124533568024865,0.20134899310302998,-11.487041902175173,0.02435841465685849,0.07340787200486866,0.04031529600504247,88
Mindwandering_Splitscreen,dmPFC,HbO,Zima,SIAS_total,-8.20532110159769,0.0101733497157256,0.014041740499891894,0.10716630767874696,0.5368605691608725,0.024721205763847447,0.10747724144907887,0.07634272661590713,90
MW_Ratio,vmPFC,HbR,Zima,Extraversion,2.3851427028868337,0.07325590823459134,0.028200477802236296,0.31359738063260656,3.5879920253150677,0.025866611423246914,0.08860072176904922,0.05525684573620948,86
Mindwandering_Zima,rTPJ,HbR,Splitscreen,MW_trait_total,-1.7391179199309112,0.5943580610773318,0.032506978313695326,0.16617897544551125,1.6287579118329285,0.0274993693856847,0.09148194092533009,0.06185635204246054,96
MW_Ratio,dmPFC,HbO,Zima,MW_state_SART,0.37908780109436635,0.5979522710455643,0.11702399050497009,1.0665081596195877e-4,2.0266771267938664,0.0278259273611118,0.18148420273826416,0.15189929440350258,87
Accuracy,ldlPFC,HbO,Zima,Loneliness,23.26193408208235,0.13025765096326677,0.049433572414911024,0.24631815869039933,-3.022532284011877,0.028031076628390293,0.09631157555127569,0.06364813852300855,87
Accuracy,dmPFC,HbO,Splitscreen,PHQ9_total,2.5681823694543215,0.7872249098376024,-0.06424545219715615,0.5366329830812937,-3.77666401536865,0.028253648482451543,0.0613379697591963,0.03138067092172381,98
MW_Ratio,rdlPFC,HbO,Zima,MW_state_SART,0.13235283930277608,0.8402162062278518,0.10769264153874591,1.6738531494722177e-4,1.7976276697976747,0.02958194687280288,0.18058606886249748,0.15096869785752753,87
Accuracy,rTPJ,HbO,Splitscreen,Loneliness,14.21142473155105,0.19636706642030702,0.017782291123755345,0.6531370008479431,-2.164060212344529,0.029611266959616227,0.06304730871552415,0.03181555233937483,94
Accuracy,rdlPFC,HbR,Zima,Loneliness,55.5212557665722,0.06425519587192637,0.009984370612192312,0.8107926322720619,-5.666787580358623,0.029673284274511547,0.0580524996299365,0.024807293734522395,89
Accuracy,ldlPFC,HbO,Zima,Neuroticism,17.437811055058532,0.26245604461587235,-0.05708620525373219,0.9076260177939057,-38.3485517726862,0.029909752434323297,0.07529229662481537,0.041869126623302666,87
