predictor,B,SE,df,t,p_penalized,n_obs,n_unique_dyad,ROI,signal_type,stimulus,p_fdr,sig_uncorrected,sig_fdr
AQ10,0.0034261570518368555,0.013743901206942999,4558,0.24928562860347583,0.8031623117144355,9310,4560,rdlPFC,HbO,Zima,0.8735881104796294,FALSE,FALSE
ASRS,0.009028444665006893,0.013425351805727223,4558,0.6724922218541327,0.5013385650297786,9310,4560,rdlPFC,HbO,Zima,0.9077374018723218,FALSE,FALSE
WHO5,-0.031413496039072626,0.013256344076386433,4558,-2.3696952838625833,0.017885610272666042,9310,4560,rdlPFC,HbO,Zima,0.05365683081799813,TRUE,FALSE
Mindwandering_Zima,-0.016671191091104272,0.013772734451789122,4556,-1.2104488872170647,0.22623226951638395,9306,4558,rdlPFC,HbO,Zima,0.5655806737909599,FALSE,FALSE
Loneliness,-0.006591805663058182,0.011918943037220967,4558,-0.55305287075146,0.5802814513098904,9310,4560,rdlPFC,HbR,Zima,0.9456473427482726,FALSE,FALSE
MW_state,-0.016124394891873003,0.011902518053042445,4558,-1.3547045104251187,0.17564599851292773,9310,4560,rdlPFC,HbR,Zima,0.2265595530028744,FALSE,FALSE
MW_trait,-0.004547247329160382,0.011865501108401231,4558,-0.3832326412190679,0.7015830210553926,9310,4560,rdlPFC,HbR,Zima,0.9020353127855049,FALSE,FALSE
PHQ9,0.0022339025415863997,0.011983133758370018,4558,0.1864205629872116,0.8521315600030932,9310,4560,rdlPFC,HbR,Zima,0.9586480050034798,FALSE,FALSE
GAD,0.0013421965597139212,0.012071055612807236,4558,0.11119131605108899,0.9114744288840401,9310,4560,rdlPFC,HbR,Zima,0.9114744288840401,FALSE,FALSE
SIAS,-0.0017481306887057561,0.011931356392788086,4558,-0.14651567107344263,0.8835272782972292,9310,4560,rdlPFC,HbR,Zima,0.8888714309100652,FALSE,FALSE
AQ10,-0.007256652959505576,0.011937573827727484,4558,-0.6078833994434027,0.5433253795708282,9310,4560,rdlPFC,HbR,Zima,0.8735881104796294,FALSE,FALSE
ASRS,-0.0035953464385570545,0.011831425259227498,4558,-0.30388109291845394,0.7612462236459789,9310,4560,rdlPFC,HbR,Zima,0.9629139504453046,FALSE,FALSE
