subject,channel,mean_isc_z,signal_type,stimulus
112,vmPFC,0.08049720465671742,HbO,Zima
113,dmPFC,0.002575015082388418,HbO,Zima
113,lTPJ,0.024403662176031817,HbO,Zima
113,ldlPFC,0.027408093141121366,HbO,Zima
113,rTPJ,0.025384757603707505,HbO,Zima
113,rdlPFC,0.014263833680079685,HbO,Zima
113,vmPFC,0.008403893321273954,HbO,Zima
114,dmPFC,0.04429580957858457,HbO,Zima
114,lTPJ,0.027804049905011688,HbO,Zima
114,ldlPFC,0.048754071523859986,HbO,Zima
114,rTPJ,0.024420456029873427,HbO,Zima
114,rdlPFC,0.023004961797892274,HbO,Zima
114,vmPFC,0.039288639487291464,HbO,Zima
12,dmPFC,0.007507248847476422,HbO,Zima
12,lTPJ,0.0016246663169711519,HbO,Zima
12,ldlPFC,-0.009320089841648112,HbO,Zima
12,rTPJ,-0.0042210955441839065,HbO,Zima
12,rdlPFC,0.00889931742686394,HbO,Zima
12,vmPFC,0.03137038004269358,HbO,Zima
13,dmPFC,0.06537711697642018,HbO,Zima
13,lTPJ,0.08464514823132961,HbO,Zima
13,ldlPFC,0.0737496122958166,HbO,Zima
13,rTPJ,0.07479717647779544,HbO,Zima
13,rdlPFC,0.05097436767183333,HbO,Zima
13,vmPFC,0.06469390618675927,HbO,Zima
14,dmPFC,0.025874082840617364,HbO,Zima
14,lTPJ,0.03078081392097365,HbO,Zima
14,ldlPFC,0.03614269781432536,HbO,Zima
14,rTPJ,0.04299594347512211,HbO,Zima
14,rdlPFC,0.024077576122013424,HbO,Zima
14,vmPFC,0.04124289340906157,HbO,Zima
15,dmPFC,0.012365852305990277,HbO,Zima
15,lTPJ,0.001462593794812192,HbO,Zima
15,ldlPFC,0.014525672016986412,HbO,Zima
15,rTPJ,0.01896265742131018,HbO,Zima
15,rdlPFC,0.0059054814347499355,HbO,Zima
15,vmPFC,2.2806715218771863e-5,HbO,Zima
16,dmPFC,0.04546329518169798,HbO,Zima
16,lTPJ,0.031137604505624965,HbO,Zima
16,ldlPFC,0.04423010805929183,HbO,Zima
16,rTPJ,0.0336942320864879,HbO,Zima
16,rdlPFC,0.04801392156269299,HbO,Zima
16,vmPFC,0.06566119772035507,HbO,Zima
17,dmPFC,0.04591509998032749,HbO,Zima
17,lTPJ,0.05087767649582236,HbO,Zima
17,ldlPFC,0.05891839734603308,HbO,Zima
17,rTPJ,0.04753568249498087,HbO,Zima
17,rdlPFC,0.06720601776004471,HbO,Zima
17,vmPFC,0.0613674149818671,HbO,Zima
18,dmPFC,0.053828329216335215,HbO,Zima
18,lTPJ,0.03438442628908796,HbO,Zima
18,ldlPFC,0.036419646727998585,HbO,Zima
18,rTPJ,0.03497078572360358,HbO,Zima
18,rdlPFC,0.024402628546502523,HbO,Zima
18,vmPFC,0.05269225294580066,HbO,Zima
19,dmPFC,0.06571248194557461,HbO,Zima
19,lTPJ,0.06398195226083553,HbO,Zima
19,ldlPFC,0.08898946348254849,HbO,Zima
19,rTPJ,0.04613447406159719,HbO,Zima
19,rdlPFC,0.06325828426787962,HbO,Zima
19,vmPFC,0.10903318664438326,HbO,Zima
20,dmPFC,0.08510130913297076,HbO,Zima
20,lTPJ,0.06978172467609249,HbO,Zima
20,ldlPFC,0.09291795163757643,HbO,Zima
20,rTPJ,0.07071622475150471,HbO,Zima
20,rdlPFC,0.10114518015377577,HbO,Zima
20,vmPFC,0.09071006635197991,HbO,Zima
21,dmPFC,0.071711105422528107,HbO,Zima
21,lTPJ,0.04921170343205539,HbO,Zima
21,ldlPFC,0.06954473686482479,HbO,Zima
21,rTPJ,0.04563719157401045,HbO,Zima
21,rdlPFC,0.04034722304831682,HbO,Zima
21,vmPFC,0.06196020118406151,HbO,Zima
22,dmPFC,0.07508998881335101,HbO,Zima
22,rTPJ,0.0885621443609141,HbO,Zima
22,rdlPFC,0.09011132986667804,HbO,Zima
22,vmPFC,0.0053055193929615494,HbO,Zima
23,dmPFC,-0.006019035386252386,HbO,Zima
23,lTPJ,0.008192342451427593,HbO,Zima
23,ldlPFC,0.004700660668069961,HbO,Zima
23,rTPJ,-8.369510824404317e-4,HbO,Zima
23,rdlPFC,-0.030816469738900842,HbO,Zima
23,vmPFC,-0.0011727152045072802,HbO,Zima
24,dmPFC,0.04600238958172505,HbO,Zima
24,lTPJ,0.03780920018728683,HbO,Zima
24,ldlPFC,0.04174593577866246,HbO,Zima
24,rTPJ,0.03551410629119944,HbO,Zima
24,rdlPFC,0.03783197488378583,HbO,Zima
24,vmPFC,0.056740012495450916,HbO,Zima
25,dmPFC,0.05713947713534393,HbO,Zima
25,lTPJ,0.04149803208107541,HbO,Zima
25,ldlPFC,0.040258251351614024,HbO,Zima
25,rTPJ,0.0470578979853056,HbO,Zima
25,rdlPFC,0.008219430945619772,HbO,Zima
25,vmPFC,0.056863992695536714,HbO,Zima
26,dmPFC,0.058187347332592176,HbO,Zima
26,lTPJ,0.009925635474673655,HbO,Zima
26,ldlPFC,0.05790105232619244,HbO,Zima
26,rTPJ,0.03465560514911669,HbO,Zima
26,rdlPFC,0.05908266490386575,HbO,Zima
26,vmPFC,0.057103854818272015,HbO,Zima
27,dmPFC,0.021018056759664554,HbO,Zima
27,lTPJ,0.05157059719031381,HbO,Zima
27,ldlPFC,0.042280615945570095,HbO,Zima
27,rTPJ,0.018527784615654158,HbO,Zima
27,rdlPFC,-0.004647504101112028,HbO,Zima
27,vmPFC,-0.021688675545552632,HbO,Zima
28,dmPFC,0.05360375919943074,HbO,Zima
28,lTPJ,0.06492194343165521,HbO,Zima
28,ldlPFC,0.06105412963023037,HbO,Zima
28,rTPJ,0.05814215778472227,HbO,Zima
28,rdlPFC,0.07841400198304342,HbO,Zima
28,vmPFC,0.0741347650770994,HbO,Zima
29,dmPFC,0.09029132067553347,HbO,Zima
