ROI,Signal_Type,Stimulus,Behavioral_Variable,Spearman_rho,p_value,n,p_fdr,sig_uncorrected,sig_fdr
ldlPFC,HbO,Splitscreen,ASRS_total,0.1793704353512954,0.07268577333979681,101,0.10902866000969522,FALSE,FALSE
ldlPFC,HbO,Splitscreen,Mindwandering_Splitscreen,0.010651849317060437,0.9170916501682542,98,0.9322352968241014,FALSE,FALSE
rTPJ,HbO,Zima,MW_state_SART,-0.06161365025927512,0.5662450372204975,89,0.5662450372204975,FALSE,FALSE
rTPJ,HbO,Zima,MW_trait_total,-0.018127824591484334,0.8661004331602489,89,0.8661004331602489,FALSE,FALSE
rTPJ,HbO,Zima,Accuracy,0.04027003706677683,0.7144227522959912,85,0.9415285667818696,FALSE,FALSE
rTPJ,HbO,Zima,MW_Ratio,0.11725079082919682,0.2911272853498084,83,0.7707996635266474,FALSE,FALSE
rTPJ,HbO,Zima,Loneliness,-0.01308381290737536,0.9031423759532107,89,0.9241224322455578,FALSE,FALSE
rTPJ,HbO,Zima,AQ10_scored,0.03247465852698985,0.7625651147032785,89,0.9195621051313181,FALSE,FALSE
rTPJ,HbO,Zima,PHQ9_total,-0.13089654685118207,0.22144784006405613,89,0.7849220105121814,FALSE,FALSE
rTPJ,HbO,Zima,GAD_total,-0.09154394988902632,0.39354357372418314,89,0.9608195413409205,FALSE,FALSE
rTPJ,HbO,Zima,SIAS_total,-0.10815324762874683,0.313044225269886,89,0.7328000740371979,FALSE,FALSE
rTPJ,HbO,Zima,WHO_5_total,0.054058444548010565,0.61486229399791,89,0.7617060235060786,FALSE,FALSE
rTPJ,HbO,Zima,ASRS_total,0.050142678771730294,0.6407491718453017,89,0.8154088202445868,FALSE,FALSE
rTPJ,HbO,Zima,Mindwandering_Zima,-0.040477782314657346,0.7080773525889371,88,0.7080773525889371,FALSE,FALSE
rTPJ,HbO,Splitscreen,MW_state_SART,-0.09232564058854502,0.36841979337869735,97,0.5526296900680461,FALSE,FALSE
rTPJ,HbO,Splitscreen,MW_trait_total,-0.03348929153462339,0.7446915867883681,97,0.8411275490265417,FALSE,FALSE
rTPJ,HbO,Splitscreen,Accuracy,0.09914406008873129,0.3417460196576019,94,0.8406727699952581,FALSE,FALSE
rTPJ,HbO,Splitscreen,MW_Ratio,-0.10835715849006251,0.3038811654415559,92,0.7340127548328927,FALSE,FALSE
rTPJ,HbO,Splitscreen,Loneliness,0.04079109392103613,0.6915866541208583,97,0.6915866541208583,FALSE,FALSE
rTPJ,HbO,Splitscreen,AQ10_scored,-0.03366552208143498,0.7433945301175237,97,0.9678669433526481,FALSE,FALSE
rTPJ,HbO,Splitscreen,PHQ9_total,0.08517669227176815,0.40680628040748124,97,0.8136125608149625,FALSE,FALSE
rTPJ,HbO,Splitscreen,GAD_total,0.031137001916093067,0.7620713665938417,97,0.895811191780423,FALSE,FALSE
rTPJ,HbO,Splitscreen,SIAS_total,0.039336311033987575,0.7020582673608691,97,0.8243908911790335,FALSE,FALSE
rTPJ,HbO,Splitscreen,WHO_5_total,-0.0923918670836308,0.36807489726274245,97,0.7361497945254849,FALSE,FALSE
rTPJ,HbO,Splitscreen,ASRS_total,0.1698065779814196,0.09634852323696326,97,0.11561822788435591,FALSE,FALSE
rTPJ,HbO,Splitscreen,Mindwandering_Splitscreen,0.032703482352428634,0.753051297946607,95,0.9322352968241014,FALSE,FALSE
rdlPFC,HbO,Zima,MW_state_SART,-0.14260120548441474,0.1703470513039568,94,0.2555205769559352,FALSE,FALSE
rdlPFC,HbO,Zima,MW_trait_total,0.09574778339822265,0.3586189391305705,94,0.8661004331602489,FALSE,FALSE
rdlPFC,HbO,Zima,Accuracy,0.007886322232152077,0.9415285667818696,89,0.9415285667818696,FALSE,FALSE
rdlPFC,HbO,Zima,MW_Ratio,-0.03874112326236834,0.7216455433851253,87,0.7707996635266474,FALSE,FALSE
rdlPFC,HbO,Zima,Loneliness,-0.0267138109905847,0.7982750057231558,94,0.9241224322455578,FALSE,FALSE
rdlPFC,HbO,Zima,AQ10_scored,-0.01055680236147432,0.9195621051313181,94,0.9195621051313181,FALSE,FALSE
rdlPFC,HbO,Zima,PHQ9_total,0.0695120886598487,0.505581580426365,94,0.7849220105121814,FALSE,FALSE
rdlPFC,HbO,Zima,GAD_total,0.04189446658177981,0.6884765720654743,94,0.9608195413409205,FALSE,FALSE
rdlPFC,HbO,Zima,SIAS_total,-0.019872268663017462,0.8492232086686384,94,0.8492232086686384,FALSE,FALSE
rdlPFC,HbO,Zima,WHO_5_total,-0.02564049946693727,0.8062179479302944,94,0.8062179479302944,FALSE,FALSE
rdlPFC,HbO,Zima,ASRS_total,0.11789669034375648,0.2577568364288646,94,0.8154088202445868,FALSE,FALSE
rdlPFC,HbO,Zima,Mindwandering_Zima,-0.07148765851900446,0.49590311577081114,93,0.5950837389249733,FALSE,FALSE
rdlPFC,HbO,Splitscreen,MW_state_SART,-0.09675141262932527,0.33579997267023276,101,0.5526296900680461,FALSE,FALSE
rdlPFC,HbO,Splitscreen,MW_trait_total,0.03677680817081667,0.7150178277591224,101,0.8411275490265417,FALSE,FALSE
rdlPFC,HbO,Splitscreen,Accuracy,-0.08275274039893468,0.42033638499762904,97,0.8406727699952581,FALSE,FALSE
rdlPFC,HbO,Splitscreen,MW_Ratio,0.07179040851975121,0.48934183655526187,95,0.7340127548328927,FALSE,FALSE
rdlPFC,HbO,Splitscreen,Loneliness,0.169890998018471,0.08941304359789695,101,0.5364782615873818,FALSE,FALSE
